Libéllé Département;Nom Famille;Code Produit;Code Coloris;Nom Produit;E-COMMERCE AXE 1;E-COMMERCE AXE 2;E-COMMERCE AXE 3;E-COMMERCE AXE 4;Marque;Theme;Libellé Court
FEMME;TS BASIC;77160001;13;MC TRESSES;;;;;AFFINITES;MONSOON;TEE SHIRT UNI
FEMME;TS BASIC;77160001;42;MC TRESSES;;;;;AFFINITES;NAVY POP;TEE SHIRT UNI
FEMME;TS BASIC;77160006;01;* DEBBOUTONS;;;;;AFFINITES;BASI;DEBARDEUR UNI
FEMME;CHEMISIER MC                  ;77230003;03;LATIKA;;;;;AFFINITES;JAIPUR;TUNIQUE BRODEE PERLES
FEMME;CHEMISIER MC                  ;77230013;26;CHEMILONG;;;;;AFFINITES;IPANEMA;CHEMISE LONGUE IMPRIMEE
FEMME;CHEMISIER MC                  ;77230014;03;BIDIPLUMETI;Longueur normale;Manches coude;Col rond;Fermeture tunique;AFFINITES;JAIPUR;TUNIQUE PLUMETIS COL PERLE
FEMME;CHEMISIER MC                  ;77230032;40;* LOTUS;;;;;AFFINITES;PIONNIER;TUNIQUE IMPRIMEE CROISEE
FEMME;CHEMISIER MC                  ;77230043;32;AMBRE;;;;;AFFINITES;FOLK ARMY;TUNIQUE UNIE GALONS
FEMME;CHEMISIER MC                  ;77230046;26;* POLYPOCHES;;;;;AFFINITES;IPANEMA;TUNIQUE IMPRIMEE POCHES
FEMME;JUPE VILLE                    ;77310011;10;SCUBA DENTELLE;;;;;AFFINITES;PASHMINA;JUPE DROITE POCHES ZIPPEES
FEMME;JUPE VILLE                    ;77310013;31;GLENDA;;;;;AFFINITES;MONSOON;JUPE IMPRIMEE DETENTE
FEMME;JUPE VILLE                    ;77310018;10;MASHALGCTR;;;;;AFFINITES;PASHMINA;JUPE LONGUE IMPRIMEE
FEMME;JUPE ETE                      ;77330002;13;BRODE SEQUINS;;;;;AFFINITES;MONSOON;JUPE DROITE A SEQUINS
FEMME;JUPE ETE                      ;77330018;40;PLISSEE BASE;;;;;AFFINITES;ROMANTIC DENIM;JUPE PLISSEE 
FEMME;PANTALON ETE                  ;77430005;40;PC ALADIN;;;;;AFFINITES;FOLK ARMY;PANTACOURT EN JEAN BLEU
FEMME;PANTALON ETE                  ;77430010;12;PC GAB FLOWER;;;;;AFFINITES;MONSOON;PANTACOURT DETENTE BRODE
FEMME;PANTALON ETE                  ;77430012;40;KILLSIKAT;;;;;AFFINITES;IPANEMA;JEAN BLEU BORDE DETENTE
FEMME;PANTALON ETE                  ;77430022;40;JEAN BOULE;;;;;AFFINITES;IPANEMA;JEAN BLEU
FEMME;PANTALON ETE                  ;77430032;15;JUMPBRODE;;;;;AFFINITES;JAIPUR;CORSAIRE DETENTE
FEMME;PANTALON ETE                  ;77430032;68;JUMPBRODE;;;;;AFFINITES;PONDICHERY;CORSAIRE DETENTE
FEMME;PANTALON ETE                  ;77430035;10;COTONMAILLE;;;;;AFFINITES;BANDANA;PANTACOURT DETENTE EN COTON
FEMME;PANTALON ETE                  ;77430044;40;BASIC;;;;;AFFINITES;PONDICHERY;JEAN BLEU DETENTE
FEMME;PANTALON ETE                  ;77430062;33;LEA CARRE;;;;;AFFINITES;FOLK ARMY;PANTACOURT DETENTE
FEMME;PANTALON ETE                  ;77430065;01;* PCLOUBROD;;;;;AFFINITES;BANDANA;PANTACOURT BRODE
FEMME;PANTALON ETE                  ;77430065;33;* PCLOUBROD;;;;;AFFINITES;FOLK ARMY;PANTACOURT BRODE
FEMME;PANTALON ETE                  ;77430067;01;DOROTHY;;;;;AFFINITES;ROMANTIC DENIM;PANTACOURT DETENTE BRODE
FEMME;PANTALON ETE                  ;77430069;40;* DOROTHY;;;;;AFFINITES;PONDICHERY;PANTACOURT DETENTE
FEMME;CEINTURE                      ;77510004;11;EL/DIAMANT;;;;;AFFINITES;;CEINTURE ELASTIQUEE
FEMME;CEINTURE                      ;77519002;32;EL/TRESSEE;;;;;AT FEMME;;CEINTURE TRESSEE
FEMME;CEINTURE                      ;77519005;13;PICOTI;;;;;AT FEMME;;CEINTURE AVEC CHAINETTE
FEMME;BIJOUTERIE                    ;77529012;14;S/TIGRE;;;;;AT FEMME;;SAUTOIR TIGRE
FEMME;ROBE ETE                      ;76030007;15;ROBRIME;;;;;AFFINITES;JAIPUR;ROBE FANTAISIE
FEMME;ROBE ETE                      ;76030024;26;DENTUNIE;;;;;AFFINITES;VINTAGE;ROBE EN DENTELLE
FEMME;VESTE ETE ML                  ;76870005;42;JACQLIN;;;;;AFFINITES;NAVY POP;VESTE ZIPPEE JACQUARD 
FEMME;VESTE ETE ML                  ;76879001;41;* VSIMILICUIR;;;;;AT FEMME;PONDICHERY;PERFECTO SIMILICUIR
FEMME;PULL UNI                      ;77010007;10;T-DENTELLE;;;;;AFFINITES;PASHMINA;PULL AVEC DENTELLE
FEMME;T SHIRT ML                    ;77110002;41;IXTAPA;;;;;AFFINITES;PONDICHERY;TEE SHIRT FANTAISIE
